iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.4875835227	0.4802337632	0.4875835227	0.5010931351	0.8150397305	0.8957790516	0.3478348847	0.3478348847
1	0.655914119	0.3325631302	0.655914119	0.6605922551	0.9575686758	0.9777865926	0.4987859166	0.4987859166
2	0.7333223214	0.2705807332	0.7333223214	0.7366818874	0.9751121655	0.9870836166	0.5876163497	0.5876163497
3	0.7810335232	0.2320524371	0.7810335232	0.7841172877	0.9797525126	0.9895158804	0.6493322541	0.6493322541
4	0.8038517226	0.2141994194	0.8038517226	0.8073284637	0.9784858135	0.9888530361	0.6821125051	0.6821125051
5	0.820150892	0.1973043772	0.820150892	0.82419526	0.9760328991	0.9875671094	0.7072035613	0.7072035613
6	0.8334768458	0.1847763585	0.8334768458	0.8369920598	0.9797385125	0.9895085588	0.7252124646	0.7252124646
7	0.8414585459	0.1770489793	0.8414585459	0.8447075209	0.9815855107	0.9904735983	0.7363415621	0.7363415621
8	0.8504524871	0.1667717742	0.8504524871	0.853986883	0.980418335	0.9898639637	0.7509105625	0.7509105625
9	0.8531528701	0.1637265689	0.8531528701	0.8567821896	0.9800293928	0.9896606575	0.7553622015	0.7553622015
10	0.8578423133	0.1581582166	0.8578423133	0.861292167	0.9811971689	0.9902708388	0.7620396601	0.7620396601
